model,rmse,mae,r2,mape,baseline_mean_prediction
Baseline Mean Predictor,0.08055516927210461,0.06756401888257864,-0.00011623886254019666,0.3862197854534711,0.2186539810094759
Linear Regression,0.04023619982664636,0.02915860526621252,0.750484480962086,0.1607177027822453,
Random Forest Regressor,0.02800843637989505,0.016847956733294405,0.8790958026307425,0.09471294228324632,
GBTRegressor,0.025279158723501758,0.014023337881032709,0.9015107379685766,0.07647189492411459,
