model,accuracy,f1,weighted_precision,weighted_recall,roc_auc,pr_auc,balanced_accuracy,bad_loan_precision,bad_loan_recall,bad_loan_f1,tp,tn,fp,fn
GBTClassifier,0.6648574057037718,0.6780257686048482,0.7262569361520627,0.6648574057037718,0.7496537268818234,0.5544027173398083,0.6805099985613581,0.4673721340388007,0.7205438066465257,0.5669796743135624,2385,4842,2718,925
Logistic Regression,0.6710211591536338,0.6829652080636301,0.7164607183437022,0.6710211591536339,0.739064982656372,0.5374175179483743,0.6712691219488802,0.4717861688587187,0.6719033232628399,0.5543369890329013,2224,5070,2490,1086
Random Forest,0.6215271389144434,0.6353629110810075,0.7241599410421953,0.6215271389144434,0.731974576000256,0.5255131042976401,0.6662582522099139,0.43268586738111187,0.7806646525679758,0.5567765567765568,2584,4172,3388,726
